"Resource ID(s)","Resource type","Status","Contributed by","Document extract","Title","Caption","Keywords - Subject","Keywords - Emotion","Keywords - Event","Keywords - Other","Named person(s)","Country","Date","Original filename","Extracted text","Credit","Notes","Keywords - Recognised","Keywords - Landmark","Accessibility - Alt Text","Accessibility - Extended Description","Camera make / model","Source"
3464,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0260.tif","","QUWEIRA","","","","","","",""
3463,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0259.tif","","QUWEIRA","","","","","","",""
3462,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0258.tif","","QUWEIRA","","","","","","",""
3461,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0257.tif","","QUWEIRA","","","","","","",""
3460,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0256.tif","","QUWEIRA","","","","","","",""
3459,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0255.tif","","QUWEIRA","","","","","","",""
3458,"Document","Active","Thomas Huet","","HUMAYMA","SL98/40.37, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0252.tif","","HUMAYMA","","","","","","",""
3457,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0254.tif","","QUWEIRA","","","","","","",""
3456,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0250.tif","","HUMAYMA","","","","","","",""
3455,"Document","Active","Thomas Huet","","Quweira","lat=29.8007638889, lon=35.3163777778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0253.tif","","QUWEIRA","","","","","","",""
3454,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0251.tif","","HUMAYMA","","","","","","",""
3453,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0248.tif","","HUMAYMA","","","","","","",""
3452,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0249.tif","","HUMAYMA","","","","","","",""
3451,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0247.tif","","HUMAYMA","","","","","","",""
3450,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0245.tif","","HUMAYMA","","","","","","",""
3449,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0244.tif","","HUMAYMA","","","","","","",""
3448,"Document","Active","Thomas Huet","","Humayma","lat=29.9527062744, lon=35.3466643943","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0243.tif","","HUMAYMA","","","","","","",""
