"ea.uuid"	"ea.name"	"ea.duration.taq"	"ea.duration.tpq"
"3d070ce3-6a05-48ca-81d3-169235aa5e34"	"Islamic, Late (Ottoman/Saadi/Wattasid/Alaouite/Colonial) (North Africa)"	"1500"	"1900"
"aa4dd772-91ad-4e47-98f6-786f7fd3f002"	"Islamic, Late (Ayyubid/Hafsid/Marinid/Zayyanid/Mamluk) (North Africa)"	"1200"	"1500"
"20219518-39ef-417e-9a84-f8df3da2eb25"	"Iron Age II (Northwest Iran)"	"-1050"	"-800"
"c09c3ae6-86b9-44da-9e58-5514a7426e59"	"Early Iron Age (North Central Iran)"	"-1400"	"-800"
"e6ee627d-7d88-4dab-81d1-198010f73785"	"Iron Age, Neo-Elamite I (Khuzestan/Southwest Iran)"	"-1100"	"-725"
"80f06d47-0020-4cef-b308-257eb255bc2d"	"Achaemenid/Iron Age IV (Iran)"	"-550"	"-330"
"f9a3958a-d7af-445f-b7b1-d751f2044446"	"Median (Central Zagros, Iran)"	"-800"	"-585"
"a0adf676-6cab-4515-9e40-ce36ab250175"	"Iron Age, Yahya III (Southeast Iran)"	"-800"	"-650"
"8f55dcdd-0590-4fd5-a615-d5231d3a0e87"	"Iron Age I (Northwest Iran)"	"-1250"	"-1050"
"38c4d0a0-2df0-498c-9146-a3ca9d727c26"	"Iron Age, Neo-Elamite II (Khuzestan/Southwest Iran)"	"-725"	"-520"
"7e66ee8c-6c65-4a8a-9e65-dae416fcdede"	"Iron Age III/Late Iron Age (Northern Iran)"	"-800"	"-550"
"a12b1ef7-5ede-4325-9d38-9d05e3733ca6"	"Iron Age, Pre-Achaemenid (Southeast Iran)"	"-650"	"-500"
"04054bf7-939e-48aa-b5d4-d63e29401ebe"	"Iron Age 1 (Southern Levant)"	"-1200"	"-1000"
"ca13e033-9922-4248-9184-ba5ae9fb0845"	"Iron Age 3 (Southern Levant)"	"-700"	"-550"
"ec3ff74e-f555-4ca0-bde1-846177b8cfe3"	"Iron Age 2 (Southern Levant)"	"-1000"	"-700"
"de162918-56aa-48e6-ab8a-024934df0b91"	"Epipalaeolithic, Early (Levant/Mesopotamia)"	"-18000"	"-12500"
"68bc1195-6310-4c54-85e9-765afeece920"	"Epipalaeolithic, Late (Levant/Mesopotamia)"	"-12500"	"-10000"
"52dd9d5f-2639-4032-8eed-5ac475bed5e9"	"Bronze Age, Kaftari/Yahya IVA (Southern Iran)"	"-2300"	"-1500"
"28d77fa3-e895-4793-b3f3-861fecd7d634"	"Bronze Age, Qaleh/Shogha-Teimuran (Southwest Iran)"	"-1500"	"-1000"
"042dc03d-12a9-4247-998e-97c996b16ff0"	"Bronze Age, Late Banesh/Yayha IVB (Southern Iran)"	"-2900"	"-2300"
"a5465015-c54a-4b8d-9990-20582ae95614"	"Middle Bronze Age 2 (Northern Mesopotamia)"	"-1800"	"-1600"
"66eac30b-3572-4bc7-8f7f-4e32ac84bb9b"	"Middle Bronze Age 1 (Northern Mesopotamia)"	"-2000"	"-1800"
"c3e75e6d-c416-4036-a525-efe63bb59c02"	"Unknown"	"For"	"where"
"876caf69-4881-4b0f-bdf7-bce7580b10ed"	"Epipalaeolithic, Late (Arabia)"	"-9000"	"-6500"
"451e7c8e-ce1b-498d-a952-9809e5a46674"	"Epipalaeolithic, Early (Arabia)"	"-18000"	"-9000"
"8006f401-e648-41e4-b191-6b093f869c56"	"Roman Imperial, Early (Levant/Mesopotamia)"	"-31"	"200"
"62877603-78a3-40b7-9189-7f879640a142"	"Roman Imperial, Late (Levant/Mesopotamia)"	"200"	"400"
"5c92b00e-a94f-4c00-ac14-91acffa651ae"	"Epipalaeolithic (North Africa)"	"-10000"	"-7000"
