"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0207483";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.11891 32.10551, 54.11933 32.10509, 54.1195 32.10523, 54.11912 32.10566, 54.11891 32.10551))"
"EAMENA-0207486";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.72302 29.47857, 59.72333 29.47826, 59.72371 29.47855, 59.72342 29.47886, 59.72302 29.47857))"
"EAMENA-0207484";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.87317 29.49691, 60.87269 29.49705, 60.87251 29.49654, 60.873 29.49641, 60.87317 29.49691))"
"EAMENA-0207493";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.55095 36.22852, 54.55126 36.22801, 54.55179 36.22825, 54.55147 36.22872, 54.55095 36.22852))"
"EAMENA-0207499";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.44418 29.287, 59.44411 29.28684, 59.44417 29.2867, 59.44436 29.28663, 59.44454 29.28668, 59.44461 29.28683, 59.44455 29.28701, 59.44436 29.28708, 59.44418 29.287))"
"EAMENA-0207500";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.16839 32.831, 53.16851 32.83063, 53.16887 32.83071, 53.16875 32.83109, 53.16839 32.831))"
"EAMENA-0207503";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.58977 29.5283, 57.59023 29.52775, 57.59082 29.52817, 57.59037 29.52871, 57.58977 29.5283))"
"EAMENA-0207504";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.46114 29.90233, 57.46087 29.90234, 57.46087 29.90208, 57.46115 29.90207, 57.46114 29.90233))"
"EAMENA-0207502";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.69983 30.15893, 60.69999 30.15864, 60.70032 30.15876, 60.70014 30.15906, 60.69983 30.15893))"
"EAMENA-0207497";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.38013 36.15622, 54.37905 36.15602, 54.37932 36.15515, 54.38039 36.15539, 54.38013 36.15622))"
"EAMENA-0207498";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.12479 29.18099, 58.12505 29.18079, 58.12532 29.18102, 58.12508 29.18123, 58.12479 29.18099))"
"EAMENA-0207501";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.78833 29.65729, 59.78865 29.65711, 59.7888 29.65733, 59.78849 29.65754, 59.78833 29.65729))"
"EAMENA-0207505";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.62929 29.69911, 57.62929 29.69882, 57.62966 29.69883, 57.62963 29.69912, 57.62929 29.69911))"
"EAMENA-0207490";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.28927 35.41336, 53.29005 35.41302, 53.29053 35.41373, 53.28975 35.41409, 53.28927 35.41336))"
"EAMENA-0207491";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.2908 30.06039, 57.29096 30.05988, 57.29149 30.06, 57.29131 30.06053, 57.2908 30.06039))"
"EAMENA-0207488";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.53741 31.6061, 54.5376 31.60577, 54.53801 31.60592, 54.53783 31.60626, 54.53741 31.6061))"
"EAMENA-0207496";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.18031 36.0706, 54.18035 36.07026, 54.18083 36.07022, 54.18085 36.07063, 54.18031 36.0706))"
"EAMENA-0207492";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.99187 30.40749, 55.99139 30.40716, 55.9918 30.40671, 55.99243 30.40706, 55.99187 30.40749))"
